Broadcast date,URL,Start,End,Text
05/09/2022,https://podcast.radionz.co.nz/mnr/mnr-20220905-0835-taranaki_iwi_are_meeting_with_locals_to_solve_depleting_seafood-128.mp3,2:54.400,3:11.039,"Nobody likes to suck it up, but the fact that the iwi, um, are also saying we won't take any for customary rights, you know, for tangi and things like that, you know, they're they're sucking it up as well. It's not two rules for e- it's one rule for everybody."
07/09/2022,https://podcast.radionz.co.nz/mnr/mnr-20220907-0713-maori_students_asked_to_perform_karakia_on_bones_at_school-128.mp3,0:00.000,0:20.125,The whānau of two Māori students who attend Epsom Girls Grammar say they are upset their children were asked to perform a karakia on a human skeleton found at the prestigious Auckland school. They say it is a breach of tikanga and they want the mar- the Ministry of Education to do a stocktake to see if there are bones at other schools.
07/09/2022,https://podcast.radionz.co.nz/mnr/mnr-20220907-0722-tim_groser_a_big_fan_of_new_uk_pm_liz_truss-128.mp3,2:28.646,2:54.467,"And the reason for that goes back to the fact that her previous job, before she was foreign minister for the UK, was secretary of state for trade, or in our parliament's trade minister, so she oversaw the negotiation at a political level of the FTA with New Zealand, and also with Australia, and right now there is a bill in parliament to ratify, put into effect, those two FTAs."
06/09/2022,https://podcast.radionz.co.nz/mnr/mnr-20220906-0614-state_highway_5_among_multiple_highways_closed_due_to_snow-128.mp3,0:00.000,0:29.155,"To the weather now, State Highway Five between Napier and Taupō is covered in snow this morning and is closed. The Desert Road between Waiouru and Rangipo is also shut after being blanketed, and further south State Highway One between Dunedin and Waitati is closed, and there's a chance that even Wellington's Remutaka Hill could get some snow as the cold weather settles in. Now the Napier-Taupō, Napier-Taupō is no stranger to weather related closures."
06/09/2022,https://podcast.radionz.co.nz/mnr/mnr-20220906-0614-state_highway_5_among_multiple_highways_closed_due_to_snow-128.mp3,0:39.847,1:03.673,"Well she's closed, um, I think they closed the road about, uh, ten past four this morning, um, after a couple of trucks got, uh, stuck up on the Titiokura Saddle, um, a couple of houses also apparently have parked up down around the same area because, uh, they had trouble getting through and, um, yeah, at this moment we're just waiting for, uh, the snow to clear and Higgins to clear the road for us."
02/09/2022,https://podcast.radionz.co.nz/mnr/mnr-20220902-0750-university_bans_intimate_relationships_between_staff_students-128.mp3,01:28.11,01:45.432,"Student relationship and we're simply saying that if there is that professional relationship there shouldn't be a romantic or sexual relationship, so if a romantic or sexual relationship occurs it needs to be disclosed and we then manage the conflict of interest accordingly."
02/09/2022,https://podcast.radionz.co.nz/mnr/mnr-20220902-0620-south_waikato_dentist_begging_government_for_help-128.mp3,0:00.000,0:22.452,"A South Waikato retired dentist who runs a free service for those who can't afford care is begging the government for help. Sue Cole is part of a delegation of local councillors, iwi, and business groups from the region who have travelled to Wellington to ask for more funding and investment. South Waikato has a large Māori and Pasifika population. Ashley McCall reports."
02/09/2022,https://podcast.radionz.co.nz/mnr/mnr-20220902-0620-south_waikato_dentist_begging_government_for_help-128.mp3,0:36.745,0:51.395,"Many of them have had pain for one year, two years, ten years, most of them haven't seen a dentist since they were at school. Basically we're seeing a lot of pain and that can result in swelling, it can result in this irritability, just low self esteem."
01/09/2022,https://podcast.radionz.co.nz/mnr/mnr-20220901-0828-asian_nzers_engaging_in_online_gamblinggaming-128.mp3,0:39.072,1:17.441,"Yeah, the study shows online gamblers are also at risk of gambling harm, so that's a significant percent, like eighty percent Asian, engaged in some sort of online gambling in the last twelve months. And we also see some of the drivers like people really kind of use this source to kind of want to earn money and and also feel online gambling is more kind of a excitement and where you can access twenty four seven and a lot of people also out of curiosity and because of COVID, of course, we have drive ourselves a lot of times online."
01/09/2022,https://podcast.radionz.co.nz/mnr/mnr-20220901-0850-hawkes_bay_locals_fuming_over_ruataniwha_consent_fees_deferral-128.mp3,0:20.188,0:47.439,"Several years ago the Supreme Court blocked the Ruataniwha Dam development. The regional council then sold the consent for creating a dam in the area to a private group, Water Holdings Hawkes Bay. The group is still trying to get permission to go ahead and develop a dam and it says in the meantime it shouldn't have to pay consent fees. Central Hawkes Bay man Trevor Le Lievre says the council, in agreeing to continue to defer the fees, has kicked the can down the road."
01/09/2022,https://podcast.radionz.co.nz/mnr/mnr-20220901-0850-hawkes_bay_locals_fuming_over_ruataniwha_consent_fees_deferral-128.mp3,0:47.440,0:59.787,It speaks volumes to ratepayers saying if you've got a debt that you knew about when you went into it and for whatever reason you can't pay it the council will look at deferring it. So this this sets a pretty concerning precedent.
01/09/2022,https://podcast.radionz.co.nz/mnr/mnr-20220901-0856-police_gift_dog_to_charity_working_to_detect_cancer_smells-128.mp3,0:59.562,1:26.681,"So really it's all about teaching them when they're puppies just to uh, the hunt drive, to learn to want to go out and find that smell, and then we tailor that into imprinting the odour that we have, uh, from the the cancer. So we have to know that the cancer, uh, they're not smelling the cells they're smelling the odours that come from those cancer cells."
31/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220831-0608-most_damaged_section_of_state_highway_6_in_nelson_reopening-128.mp3,0:00.000,0:32.268,"Now the most damaged section of State Highway Six that connects Nelson and Blenheim is finally reopening this afternoon after floods devastated the roads during flooding earlier this month. Waka Kotahi has poured huge amounts of resources into clearing slips and fixing the road. Waka Kotahi's system manager for top of the South Island Andrew James looks after the maintenance of the roads in the area and is with us now. Kia ora Andrew, jeez, it's been a bit of a feat to get to this point hasn't it, tell us how that process has been?"
31/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220831-0608-most_damaged_section_of_state_highway_6_in_nelson_reopening-128.mp3,2:04.389,2:31.498,"Oh it is, yeah, we need to do some some river training work, we need to do some additional culvert work, uh, there's some under slips there which are gonna require some retaining walls, um, and there's some over slips that we'll need to get some sta- stabilisation in as well, so there's a bit more work to do before it's back to uh the way it was before but I think you know it shows the network's pretty resilient we've got it back in in a week and a half after like a massive rain event so um I think I think we should be pretty proud that the network is is pretty strong along here."
31/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220831-0753-waitangi_tribunal_hears_of_struggle_of_disabled_maori-128.mp3,1:15.052,1:35.791,"The whānau are from remote Hokianga at the top of the North Island but they had to relocate to Auckland for Brennan, who was left with brain damage. Māori health service Hauora Hokianga told the tribunal it struggles to help tāngata whaikaha. Chief executive Margaret Broadcorn says they need better funding and resources."
